id,cycle,committee_type,form_type,date_filed,date_coverage_from,date_coverage_to,report_title,report_period,paper,contributions_total,cash_on_hand,disbursements_total,receipts_total,amended,is_amendment,original_filing,fec_uri,original_uri,amended_uri
876670,2008,P,F3,2013-07-10,2007-01-01,2007-03-31,APR QUARTERLY,Q1,False,13019700.0,4705040.0,8854970.0,13087600.0,False,True,284727,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876670/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/284727/,
876700,2008,P,F3,2013-07-10,2007-04-01,2007-06-30,JUL QUARTERLY,Q2,False,11266300.0,3224430.0,13072300.0,11591700.0,False,True,295333,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876700/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/295333/,
876774,2008,P,F3,2013-07-11,2007-07-01,2007-09-30,OCT QUARTERLY,Q3,False,5698140.0,3488630.0,5470280.0,5734480.0,False,True,307521,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876774/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/307521/,
876794,2008,P,F3,2013-07-11,2007-10-01,2007-12-31,YEAR-END,YE,False,6836070.0,2948430.0,10509500.0,9969290.0,False,True,318075,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876794/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/318075/,
876798,2008,P,F3,2013-07-11,2008-01-01,2008-01-31,FEB MONTHLY,M2,False,11730000.0,5198420.0,10504500.0,12754500.0,False,True,323451,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876798/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/323451/,
876806,2008,P,F3,2013-07-11,2008-02-01,2008-02-29,MAR MONTHLY,,False,11014600.0,7996600.0,8782420.0,11580600.0,False,True,328304,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876806/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/328304/,
876810,2008,P,F3,2013-07-11,2008-03-01,2008-03-31,APR MONTHLY,M4,False,15192500.0,11579700.0,11845800.0,15428900.0,False,True,335502,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876810/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/335502/,
876920,2008,P,F3,2013-07-11,2008-04-01,2008-04-30,MAY MONTHLY,M5,False,17815800.0,21755100.0,8353980.0,18529400.0,False,True,341052,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876920/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/341052/,
876930,2008,P,F3,2013-07-11,2008-05-01,2008-05-31,JUN MONTHLY,M6,False,16627500.0,31591800.0,11657000.0,21493700.0,False,True,345410,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876930/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/345410/,
876937,2008,P,F3,2013-07-11,2008-06-01,2008-06-30,JUL MONTHLY,M7,False,16438500.0,26782200.0,27000300.0,22190800.0,False,True,353430,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876937/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/353430/,
876956,2008,P,F3,2013-07-11,2008-07-01,2008-07-31,AUG MONTHLY,M8,False,20666000.0,21417500.0,32385300.0,27020500.0,False,True,358641,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876956/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/358641/,
876975,2008,P,F3,2013-07-11,2008-08-01,2008-08-31,SEP MONTHLY,M9,False,43578200.0,26986100.0,47679900.0,53248500.0,False,True,363587,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876975/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/363587/,
876987,2008,P,F3,2013-07-11,2008-09-01,2008-09-30,OCT MONTHLY,M10,False,5628470.0,29581500.0,10168300.0,12763700.0,False,True,373390,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876987/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/373390/,
876991,2008,P,F3,2013-07-11,2008-10-01,2008-10-15,PRE-GENERAL,PREG,False,792826.0,21281000.0,9246620.0,946059.0,False,True,377165,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/876991/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/377165/,
877004,2008,P,F3,2013-07-11,2008-10-16,2008-11-24,POST-GENERAL,PG,False,1513440.0,3788520.0,20662800.0,3170380.0,False,True,390690,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/877004/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/390690/,
404416,2008,P,F3,2009-02-18,2008-11-25,2008-12-31,YEAR-END,YE,False,18715.6,1834700.0,2286910.0,333090.0,False,True,399495,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/404416/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00430470/399495/,
